Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-08 00:06:30 333.64 8.7
2020-07-08 00:11:31 333.81 8.69
2020-07-08 00:16:32 331.15 8.98
2020-07-08 00:21:33 331.75 8.34
2020-07-08 00:26:34 332.56 8.11
2020-07-08 00:31:34 332.89 8.32
2020-07-08 00:36:35 331.48 8.02
2020-07-08 00:41:36 330.5 8.74
2020-07-08 00:46:37 333.05 8.37
2020-07-08 00:51:37 333.26 8.4
2020-07-08 00:56:38 330.77 8.13
2020-07-08 01:01:39 331.42 8.9
2020-07-08 01:06:40 330.56 8.3
2020-07-08 01:11:41 331.8 8.11
2020-07-08 01:16:41 332.18 7.97
2020-07-08 01:21:42 332.94 7.96
2020-07-08 01:26:43 332.02 8.9
2020-07-08 01:31:44 330.94 8.42
2020-07-08 01:36:45 330.5 8.07
2020-07-08 01:41:45 331.59 8.93
2020-07-08 01:46:46 330.77 8.5
2020-07-08 01:51:47 331.21 8.02
2020-07-08 01:56:48 330.23 8.05
2020-07-08 02:01:48 331.26 8.68
2020-07-08 02:06:49 332.56 8.26
2020-07-08 02:11:50 331.48 8.26
2020-07-08 02:16:51 330.61 8.42
2020-07-08 02:21:52 331.37 8.12
2020-07-08 02:26:52 332.56 8.12
2020-07-08 02:31:53 332.51 8.09
2020-07-08 02:36:54 330.18 7.81
2020-07-08 02:41:55 329.64 8.17
2020-07-08 02:46:56 331.15 8.06
2020-07-08 02:51:56 328.39 8.05
2020-07-08 02:56:57 328.82 8.28
2020-07-08 03:01:58 327.69 8.3
2020-07-08 03:06:59 329.42 7.98
2020-07-08 03:11:59 331.1 8.0
2020-07-08 03:17:00 327.85 8.65
2020-07-08 03:22:01 327.8 8.28
2020-07-08 03:27:02 332.07 7.98
2020-07-08 03:32:03 329.91 8.79
2020-07-08 03:37:03 327.74 7.92
2020-07-08 03:42:04 329.8 7.63
2020-07-08 03:47:05 328.55 7.93
2020-07-08 03:52:06 329.74 8.02
2020-07-08 03:57:06 328.17 7.96
2020-07-08 04:02:07 330.67 7.92
2020-07-08 04:07:08 327.69 7.86
2020-07-08 04:12:09 327.25 8.25
2020-07-08 04:17:10 329.31 7.85
2020-07-08 04:22:10 329.09 8.43
2020-07-08 04:27:11 328.72 7.85
2020-07-08 04:32:12 329.91 8.11
2020-07-08 04:37:13 328.82 8.54
2020-07-08 04:42:14 326.6 8.13
