Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-07 19:15:07 560.23 9.39
2020-07-07 19:20:08 580.86 9.39
2020-07-07 19:25:09 554.11 8.71
2020-07-07 19:30:09 564.23 8.66
2020-07-07 19:35:10 549.66 8.84
2020-07-07 19:40:11 554.48 8.88
2020-07-07 19:45:11 541.49 8.88
2020-07-07 19:50:12 584.16 9.63
2020-07-07 19:55:13 563.53 9.33
2020-07-07 20:00:13 539.97 9.67
2020-07-07 20:05:14 597.92 8.97
2020-07-07 20:10:15 539.21 8.89
2020-07-07 20:15:15 547.23 9.0
2020-07-07 20:20:16 580.05 9.24
2020-07-07 20:25:17 573.17 9.11
2020-07-07 20:30:18 557.63 8.85
2020-07-07 20:35:18 578.2 9.15
2020-07-07 20:40:19 541.43 8.93
2020-07-07 20:45:20 547.28 9.22
2020-07-07 20:50:20 561.47 8.96
2020-07-07 20:55:21 557.9 9.03
2020-07-07 21:00:22 524.81 8.64
2020-07-07 21:05:22 551.02 8.81
2020-07-07 21:10:23 538.89 8.6
2020-07-07 21:15:24 546.25 8.65
2020-07-07 21:20:24 547.66 9.2
2020-07-07 21:25:25 546.47 8.73
2020-07-07 21:30:26 572.52 9.06
2020-07-07 21:35:26 591.53 8.85
2020-07-07 21:40:27 591.58 9.04
2020-07-07 21:45:28 538.83 8.64
2020-07-07 21:50:28 579.61 9.42
2020-07-07 21:55:29 538.24 8.57
2020-07-07 22:00:30 543.33 8.63
2020-07-07 22:05:31 555.73 8.68
2020-07-07 22:10:31 516.58 8.5
2020-07-07 22:15:32 559.79 8.97
2020-07-07 22:20:33 549.18 8.49
2020-07-07 22:25:33 573.76 9.45
2020-07-07 22:30:34 569.54 8.67
2020-07-07 22:35:35 546.2 8.39
2020-07-07 22:40:35 567.43 8.82
2020-07-07 22:45:36 582.97 9.1
2020-07-07 22:50:37 554.05 8.4
2020-07-07 22:55:37 575.82 8.82
2020-07-07 23:00:38 553.24 8.84
2020-07-07 23:05:39 582.97 9.13
2020-07-07 23:10:39 564.67 8.86
2020-07-07 23:15:40 531.47 8.5
2020-07-07 23:20:41 556.54 8.49
2020-07-07 23:25:41 567.27 8.34
2020-07-07 23:30:42 576.85 8.97
2020-07-07 23:35:43 591.96 8.72
2020-07-07 23:40:44 565.53 8.71
2020-07-07 23:45:44 559.74 8.13
2020-07-07 23:50:45 572.57 8.81
2020-07-07 23:55:46 597.48 9.14
2020-07-08 00:00:46 571.6 8.7
2020-07-08 00:05:47 569.0 8.14
2020-07-08 00:10:48 573.66 8.28
2020-07-08 00:15:48 574.9 8.51
2020-07-08 00:20:49 600.95 8.77
2020-07-08 00:25:50 590.82 9.19
2020-07-08 00:30:50 536.94 8.46
2020-07-08 00:35:51 560.01 8.66
2020-07-08 00:40:52 547.01 8.23
2020-07-08 00:45:52 532.82 8.28
2020-07-08 00:50:53 544.47 8.96
2020-07-08 00:55:54 537.91 8.67
2020-07-08 01:00:54 522.86 7.95
2020-07-08 01:05:55 544.47 8.03
2020-07-08 01:10:56 565.48 8.9
2020-07-08 01:15:56 580.59 8.77
2020-07-08 01:20:57 593.53 8.65
2020-07-08 01:25:58 559.52 8.03
2020-07-08 01:30:59 572.19 8.63
2020-07-08 01:35:59 579.29 8.34
2020-07-08 01:41:00 588.28 8.59
2020-07-08 01:46:01 572.73 8.0
2020-07-08 01:51:01 538.83 8.53
2020-07-08 01:56:02 558.06 8.5
2020-07-08 02:01:03 527.68 8.03
2020-07-08 02:06:03 584.11 8.79
2020-07-08 02:11:04 532.12 8.08
2020-07-08 02:16:05 567.05 8.0
